project1_file,project2_file,birthmark,comparator,matcher,class1,class2,similarity
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeInterface$InProcess$1,0.25
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeInterface$5,0.25
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeInterface$4,0.25
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeInterface$3$1,0.8
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeInterface$2,0.3
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeComponent$CMN_setControlParentEnabled$1$1,0.26666666666666666
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeComponent$CMN_hasFocus$1,0.26666666666666666
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeComponent$CMN_getComponentImage$1,0.4
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeComponent$CMN_createControl$3,0.3076923076923077
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeComponent$CMLocal_runInSequence,0.4
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeComponent$6,0.6666666666666666
